문항 1 :	ol
	[풀이]
	순서가 없는 리스트는 ul (unordered list).
	순서가 있는 리스트는 ol (ordered list).
	앞에 붙는 글머리로 a(소문자 알파벳), A(대문자 알파벳), I(대문자 로마자), i(소문자 로마자), 1(숫자)를 고를 수 있다.
	(예: type="1")

문항 2 :	.spotlight
	[풀이]
	맨 위의 JQuery 코드는 span 이라는 id를 가진 요소에 spotlight 라는 클래스 명을 추가하는 코드이다.
	즉, 해당 요소가 <span>일 수도 있고 다른 태그를 가질 수도 있지만, spotlight 라는 클래스는 무조건 갖게 되므로
	.spotlight {  } 의 방식으로 스타일을 지정할 수 있다.

문항 3 :	confirm("표기할 문장") 메소드
	[풀이]
	confirm("표기할 문장") 메소드는 파라미터로 받은 값을 표시하는 확인/취소 창을 발생시킨다.
	해당 창에서 확인 버튼을 누를 경우 true를 반환하고, 취소 버튼을 누를 경우 false를 반환한다.

문항 4 :	위, 오른쪽, 아래, 왼쪽
	[풀이]
	CSS 상에서의 margin 속성은 순서대로 상, 우, 하, 좌 의 마진을 표기하는 방식을 이용한다.
	간략하게 2개의 값이나 1개의 값 만을 넣을 수도 있는데, 해당 방식은 다음과 같은 결과를 보인다.
	- 2개의 값만 있을 경우 : 위 및 아래의 바깥 여백 값, 왼쪽 및 오른쪽의 바깥 여백 값
	- 1개의 값만 있을 경우 : 위, 아래, 오른쪽, 왼쪽 의 바깥 여백 값

문항 5 :	isNaN(판별할 값)
	[풀이]
	isNaN() 메소드는 파라미터로 받은 값이 숫자인지 여부를 판단하여, 숫자로 판단할 수 없는 경우(NaN 인 경우) true를 반환하고, 숫자로 판단할 경우 false를 반환한다.
	(예 : isNaN("안녕하세요") -> true, isNaN(3) -> false)

문항 6 :	(가) margin
	(나) border
	(다) padding
	(라) content
	[풀이]
	Box 를 기준으로...
	(가)는 Box의 바깥 여백을 나타내므로 margin,
	(나)는 Box의 경계를 나타내므로 border,
	(다)는 Box의 안쪽 여백을 나타내므로 padding,
	(라)는 Box 내부의 내용을 나타내므로 content

문항 7 :	's Gen
	[풀이]
	substring(x, y) 메소드의 경우 인덱스 x부터 y 직전까지의 문자열을 추출하는 메소드이다.
	즉, 3번 인덱스(4번째 글자)부터 9번 인덱스 직전(8번 인덱스 까지, 9번째 글자)까지의 문자열을 추출하므로
	정답은 "'s Gen" 이 된다.

문항 8 :	if (frm.id.value == "") alert("ID를 입력해주세요");
	[풀이]
	form 태그에 name 애트리뷰트가 존재할 경우, 자바스크립트에서는 해당 애트리뷰트의 값으로 form에 접근할 수 있다.
	내부의 태그들 또한 마찬가지로 name 애트리뷰트의 값을 직접적으로 사용하여 접근할 수 있다.
	즉, frm.id 는 <input type="text" name="id"> 를 나타내고, 해당 컨트롤의 값은 value로 접근할 수 있다.
	그렇다는 것은, frm.id.value == "" 의 조건식이 나타내는 것은 <input type="text" name="id">에 입력된 값이 빈 값(Empty, "")일 경우 true를 반환하는 것이다.
	즉, id가 누락될 경우 "ID를 입력해주세요" 라는 문장이 삽입된 경고창이 발생된다.
